('unencumbered', [1.0, 0.0])
('admonishingly', [0.0, 1.0])
('excitingly', [1.0, 0.0])
('insults', [0.0, 1.0])
('insupportably', [0.0, 1.0])
('well-run', [1.0, 0.0])
('frightfully', [0.0, 1.0])
('reprovingly', [0.0, 1.0])
('undercutting', [0.0, 1.0])
('pandering', [0.0, 1.0])
('disconsolation', [0.0, 1.0])
('unsteadily', [0.0, 1.0])
('pugnaciously', [0.0, 1.0])
